filename,time_s,peak_memory_mb
img_0.npy,14.67,678.13
img_1.npy,18.37,659.28
img_2.npy,21.20,691.37
img_3.npy,18.75,677.46
img_4.npy,15.87,686.97
img_5.npy,18.93,685.57
img_6.npy,20.75,704.29
img_7.npy,19.35,689.27
img_8.npy,19.83,701.32
img_9.npy,21.79,678.43
