[Tue Nov  4 22:33:19 CET 2025] Running METHOD=cripser, DATASET=imagenet, DIM=1
Saving to results/cripser/imagenet/dim1.csv
Running cripser on datasets/imagenet_npy (maxdim=1)...
  Running img_1100.npy ... done (0.93s, 29.26MB)
  Running img_1101.npy ... done (1.05s, 29.11MB)
  Running img_1102.npy ... done (1.06s, 31.27MB)
  Running img_1103.npy ... done (0.88s, 33.18MB)
  Running img_1104.npy ... done (0.86s, 29.29MB)
  Running img_1105.npy ... done (0.84s, 28.38MB)
  Running img_1106.npy ... done (1.03s, 27.21MB)
  Running img_1107.npy ... done (1.04s, 29.41MB)
  Running img_1108.npy ... done (0.92s, 29.54MB)
  Running img_1109.npy ... done (0.84s, 30.10MB)
  Running img_111.npy ... done (0.81s, 29.21MB)
  Running img_1110.npy ... done (0.92s, 29.77MB)
  Running img_1111.npy ... done (0.74s, 30.69MB)
  Running img_1112.npy ... done (1.08s, 30.09MB)
  Running img_1113.npy ... done (0.90s, 26.53MB)
  Running img_1114.npy ... done (0.99s, 28.06MB)
  Running img_1115.npy ... done (0.86s, 28.07MB)
  Running img_1116.npy ... done (0.99s, 27.14MB)
  Running img_1117.npy ... done (0.99s, 28.14MB)
  Running img_1118.npy ... done (0.93s, 31.56MB)
  Running img_1119.npy ... done (0.95s, 29.28MB)
  Running img_112.npy ... done (0.82s, 30.34MB)
  Running img_1120.npy ... done (0.87s, 29.30MB)
  Running img_1121.npy ... done (1.14s, 28.82MB)
  Running img_1122.npy ... done (0.87s, 29.55MB)
  Running img_1123.npy ... done (1.02s, 28.93MB)
  Running img_1124.npy ... done (0.90s, 29.03MB)
  Running img_1125.npy ... done (0.92s, 28.68MB)
  Running img_1126.npy ... done (0.95s, 29.98MB)
  Running img_1127.npy ... done (1.06s, 28.68MB)
  Running img_1128.npy ... done (0.88s, 27.31MB)
  Running img_1129.npy ... done (1.07s, 29.15MB)
  Running img_113.npy ... done (0.82s, 29.13MB)
  Running img_1130.npy ... done (0.83s, 29.42MB)
  Running img_1131.npy ... done (0.80s, 28.26MB)
  Running img_1132.npy ... done (0.82s, 27.92MB)
  Running img_1133.npy ... done (0.89s, 28.23MB)
  Running img_1134.npy ... done (0.91s, 29.45MB)
  Running img_1135.npy ... done (0.84s, 29.03MB)
  Running img_1136.npy ... done (0.90s, 30.11MB)
  Running img_1137.npy ... done (0.95s, 27.92MB)
  Running img_1138.npy ... done (0.96s, 29.90MB)
  Running img_1139.npy ... done (0.91s, 28.59MB)
  Running img_114.npy ... done (1.00s, 28.89MB)
  Running img_1140.npy ... done (0.88s, 29.07MB)
  Running img_1141.npy ... done (0.91s, 29.48MB)
  Running img_1142.npy ... done (0.76s, 29.61MB)
  Running img_1143.npy ... done (1.02s, 27.70MB)
  Running img_1144.npy ... done (1.02s, 31.83MB)
  Running img_1145.npy ... done (0.87s, 28.39MB)
  Running img_1146.npy ... done (0.94s, 27.54MB)
  Running img_1147.npy ... done (0.96s, 30.19MB)
  Running img_1148.npy ... done (0.85s, 31.76MB)
  Running img_1149.npy ... done (0.82s, 28.45MB)
  Running img_115.npy ... done (0.84s, 29.97MB)
  Running img_1150.npy ... done (1.07s, 28.26MB)
  Running img_1151.npy ... done (0.88s, 29.06MB)
  Running img_1152.npy ... done (0.97s, 27.84MB)
  Running img_1153.npy ... done (0.77s, 28.09MB)
  Running img_1154.npy ... done (0.91s, 30.00MB)
  Running img_1155.npy ... done (0.94s, 28.11MB)
  Running img_1156.npy ... done (1.03s, 26.91MB)
  Running img_1157.npy ... done (0.77s, 30.40MB)
  Running img_1158.npy ... done (0.90s, 29.07MB)
  Running img_1159.npy ... done (0.86s, 28.98MB)
  Running img_116.npy ... done (0.83s, 29.59MB)
  Running img_1160.npy ... done (0.87s, 31.21MB)
  Running img_1161.npy ... done (0.73s, 28.57MB)
  Running img_1162.npy ... done (0.93s, 29.61MB)
  Running img_1163.npy ... done (1.04s, 31.38MB)
  Running img_1164.npy ... done (0.76s, 30.77MB)
  Running img_1165.npy ... done (0.82s, 28.27MB)
  Running img_1166.npy ... done (0.86s, 26.86MB)
  Running img_1167.npy ... done (0.85s, 27.18MB)
  Running img_1168.npy ... done (1.05s, 29.85MB)
  Running img_1169.npy ... done (0.91s, 26.37MB)
  Running img_117.npy ... done (1.01s, 28.58MB)
  Running img_1170.npy ... done (0.88s, 29.49MB)
  Running img_1171.npy ... done (0.80s, 29.70MB)
  Running img_1172.npy ... done (0.90s, 29.33MB)
  Running img_1173.npy ... done (0.99s, 30.49MB)
  Running img_1174.npy ... done (0.93s, 29.66MB)
  Running img_1175.npy ... done (0.89s, 28.57MB)
  Running img_1176.npy ... done (0.87s, 29.30MB)
  Running img_1177.npy ... done (0.98s, 30.99MB)
  Running img_1178.npy ... done (1.00s, 29.98MB)
  Running img_1179.npy ... done (0.97s, 26.82MB)
  Running img_118.npy ... done (0.89s, 29.12MB)
  Running img_1180.npy ... done (1.14s, 29.26MB)
  Running img_1181.npy ... done (0.77s, 26.48MB)
  Running img_1182.npy ... done (0.97s, 28.75MB)
  Running img_1183.npy ... done (0.90s, 26.67MB)
  Running img_1184.npy ... done (0.85s, 27.80MB)
  Running img_1185.npy ... done (0.85s, 29.31MB)
  Running img_1186.npy ... done (0.92s, 31.04MB)
  Running img_1187.npy ... done (1.01s, 28.71MB)
  Running img_1188.npy ... done (0.97s, 31.44MB)
  Running img_1189.npy ... done (0.99s, 27.12MB)
  Running img_119.npy ... done (1.01s, 30.24MB)
  Running img_1190.npy ... done (0.90s, 29.76MB)
  Running img_1191.npy ... done (0.97s, 29.89MB)
  Running img_1192.npy ... done (1.02s, 28.55MB)
  Running img_1193.npy ... done (0.90s, 28.73MB)
  Running img_1194.npy ... done (1.00s, 27.03MB)
  Running img_1195.npy ... done (0.95s, 31.87MB)
  Running img_1196.npy ... done (0.86s, 29.05MB)
  Running img_1197.npy ... done (0.80s, 26.26MB)
  Running img_1198.npy ... done (0.93s, 26.66MB)
  Running img_1199.npy ... done (1.01s, 27.49MB)
  Running img_12.npy ... done (0.83s, 27.08MB)
  Running img_120.npy ... done (0.88s, 33.36MB)
  Running img_1200.npy ... done (0.85s, 32.68MB)
  Running img_1201.npy ... done (1.01s, 31.77MB)
  Running img_1202.npy ... done (0.83s, 28.12MB)
  Running img_1203.npy ... done (0.90s, 27.36MB)
  Running img_1204.npy ... done (0.84s, 29.44MB)
  Running img_1205.npy ... done (0.90s, 28.84MB)
  Running img_1206.npy ... done (0.90s, 29.13MB)
  Running img_1207.npy ... done (0.81s, 28.61MB)
  Running img_1208.npy ... done (0.95s, 31.26MB)
  Running img_1209.npy ... done (0.87s, 28.77MB)
  Running img_121.npy ... done (0.84s, 30.39MB)
  Running img_1210.npy ... done (1.10s, 30.39MB)
  Running img_1211.npy ... done (0.87s, 29.60MB)
  Running img_1212.npy ... done (0.76s, 29.51MB)
  Running img_1213.npy ... done (1.07s, 29.31MB)
  Running img_1214.npy ... done (0.88s, 29.75MB)
  Running img_1215.npy ... done (0.84s, 27.17MB)
  Running img_1216.npy ... done (0.91s, 26.83MB)
  Running img_1217.npy ... done (0.94s, 27.69MB)
  Running img_1218.npy ... done (0.72s, 32.68MB)
  Running img_1219.npy ... done (0.84s, 29.94MB)
